entity	type	time	description	
投資法人	專有名詞	2019Q1	法人投資者指的是企業、機構或任何非個人的法律實體，進行金融投資活動的實體。	
Q one	專有名詞	2019Q1	指一年中的第一季度。	
經濟成長率	專有名詞	2019Q1	一國或地區經濟增長的速度，通常以GDP增長率來表示。	
貨幣政策	專有名詞	2019Q1	由中央銀行制定和執行的政策，目的是控制貨幣供應量，影響利率，從而影響經濟活動。	
GDP	專有名詞	2019Q1	國內生產總值，衡量一個國家或地區在一定時期內生產的所有最終商品和服務的市場價值。	
玉山金控	公司名稱	2019Q1	玉山金融控股公司，一家在台灣設立的金融服務公司。	
淨值	專有名詞	2019Q1	資產減去負債後的剩餘價值。	Hi
雙重槓桿比率	專有名詞	2019Q1	通常指控股公司的槓桿情況，計算其資本結構的複雜性與風險。	
稅後淨利	專有名詞	2019Q1	扣除稅費後的淨利潤，反映公司實際盈利能力。	
淨收益	專有名詞	2019Q1	業從業務活動中賺取的總收入扣除成本和費用後的餘額。	
DPS	專有名詞	2019Q1	每股股息（Dividend Per Share），表示公司支付給股東的每股股息金額。	
ROE	專有名詞	2019Q1	股東權益回報率（Return on Equity），衡量公司使用股東資金的效率。	
ROA	專有名詞	2019Q1	資產回報率（Return on Assets），衡量公司利用其資產生成收益的能力。	
pi錢包	產品	2019Q1	指一種數位錢包或特定的金融科技產品。	
預期放款比率	專有名詞	2019Q1	預計的放款總額與實際放款總額的比例。	
the banker	公司名稱	2019Q1		
CSR	專有名詞	2019Q1	企業社會責任（Corporate Social Responsibility），企業對社會、環境及經濟持續發展的承諾。	
net revenue	罕見詞	2019Q1	淨收入，指企業從銷售商品或提供服務後，扣除成本、費用後的收入。	
Fixed Income	專有名詞	2019Q1	固定收益，指定期支付固定利息的金融投資，如債券。	
other income	專有名詞	2019Q1	其他收入，非主營業務以外的收入，如投資收益。	
淨手續費	專有名詞	2019Q1	指銀行等金融機構收取的手續費扣除成本後的淨額。	
市占率	專有名詞	2019Q1	企業在特定市場的銷售占該市場總銷售的比例。	
YOY	專有名詞	2019Q1	年比年增長（Year Over Year），比較同一時間點不同年份的數據差異。	
放款	專有名詞	2019Q1	銀行或金融機構提供的貸款。	
LDR	專有名詞	2019Q1	貸款與存款比率（Loan-to-Deposit Ratio），衡量銀行貸款總額與存款總額的比例。	
消金	專有名詞	2019Q1	消費金融，指提供個人消費貸款的金融服務。	
NIM	專有名詞	2019Q1	淨利差（Net Interest Margin），衡量銀行利息收入與支付利息成本的差額比率。	
Spread	專有名詞	2019Q1	利差，指貸款利率與存款利率之間的差距。	
存放比	專有名詞	2019Q1	指銀行的存款與放款的比率。	
NPL Ratio	公司名稱	2019Q1	不良貸款比率，衡量銀行不良貸款總額與總貸款額的比例。	
企金	專有名詞	2019Q1	企業金融，提供給公司的金融服務，包括貸款、股權投資等。	
C I Ratio	專有名詞	2019Q1	成本收入比率，指企業的營運成本與總收入的比例。	
資本適足率	專有名詞	2019Q1	衡量銀行資本充足的一種指標，以支持其運營和承擔可能損失。	
BIS Ratio	專有名詞	2019Q1	國際清算銀行資本比率，衡量銀行核心資本與風險資產總額的比率。	
陳美滿	人名	2019Q1	玉山金融控股公司 總經理 / 玉山金融控股公司 永續長	
柯治宏	人名	2019Q1	玉山金融控股公司 會計長	
謝冠仁	人名	2019Q1	玉山金融控股公司 風險長	
EPS	專有名詞	2019Q1	每股收益（Earnings Per Share），衡量每股可分配利潤的指標。	
